全表适应度排名,来源文件,文件修改时间,文件内序号,实例,算法,运行类别,运行条件备注,原始备注,预算G,预算T_MAX,预算说明,run_seed,迭代次数,适应度值,运行时间_秒,运行时间_分钟,最快最佳结果时间_秒,最快最佳结果时间_分钟,宽高比是否满足,gbest更新次数,开始时间,最快时间,结束时间,读取编码
218,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,1,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7412788.654,22926.09318,382.101553,20568.70836,342.811806,TRUE,366,45:56.2,28:44.9,08:02.3,utf-8-sig
264,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,2,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7442873.382,24420.39605,407.0066008333333,20424.07339,340.4012231666667,TRUE,372,08:02.4,48:26.5,55:02.8,utf-8-sig
268,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,3,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7447395.389,22514.58896,375.24314933333335,12896.89107,214.9481845,TRUE,406,55:02.8,29:59.7,10:17.4,utf-8-sig
282,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,4,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7460806.862,27990.53697,466.5089495,15347.31077,255.78851283333333,TRUE,397,10:17.5,26:04.8,56:48.1,utf-8-sig
312,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,5,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7515921.271,22429.27671,373.82127849999995,19409.54745,323.49245749999994,TRUE,253,30:13.4,53:42.9,44:02.7,utf-8-sig
192,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,6,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7400221.882,26617.25129,443.62085483333334,25073.46405,417.89106749999996,TRUE,363,30:06.6,28:00.1,53:43.9,utf-8-sig
158,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,7,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7380398.108,24384.51077,406.40851283333336,23520.80799,392.0134665,TRUE,357,56:48.1,28:48.9,43:12.6,utf-8-sig
291,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,8,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7469229.672,23167.11569,386.1185948333333,20868.89763,347.8149605,TRUE,282,53:43.9,41:32.8,19:51.0,utf-8-sig
105,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,9,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7286877.487,25008.48169,416.8080281666667,24272.35916,404.5393193333333,TRUE,424,43:12.7,27:45.1,40:01.2,utf-8-sig
322,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,10,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7622392.356,39949.57556,665.8262593333333,38956.58204,649.2763673333334,TRUE,243,44:02.8,33:19.4,49:52.4,utf-8-sig
261,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,11,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7440183.173,14776.32895,246.27214916666665,14595.79223,243.2632038333333,TRUE,342,02:22.3,05:38.1,08:38.6,utf-8-sig
138,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,12,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7368613.419,28334.62755,472.24379250000004,11590.16127,193.1693545,TRUE,433,40:01.3,53:11.5,32:15.9,utf-8-sig
301,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,13,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7491479.214,29988.34433,499.80573883333335,29820.69524,497.01158733333335,TRUE,316,53:50.4,10:51.1,13:38.8,utf-8-sig
163,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,14,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7385712.721,15979.59407,266.32656783333334,15335.74619,255.59576983333332,TRUE,389,08:38.7,24:14.5,34:58.3,utf-8-sig
134,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,15,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7366995.209,24680.44484,411.34074733333335,23011.63549,383.5272581666667,TRUE,405,32:16.0,55:47.7,23:36.5,utf-8-sig
227,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,16,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7419982.252,18326.19171,305.4365285,17378.01181,289.6335301666667,TRUE,308,34:58.4,24:36.4,40:24.6,utf-8-sig
267,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,17,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7447368.462,30501.88732,508.3647886666667,26628.35562,443.805927,TRUE,319,13:38.9,37:27.3,42:00.8,utf-8-sig
145,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,18,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7372966.281,23833.20139,397.22002316666664,23781.5718,396.35953,TRUE,349,23:36.6,59:58.1,00:49.8,utf-8-sig
262,Du62-ELP_RL_Standard.csv,2026-05-10 22:07:27,19,Du62,ELP_RL_Standard,历史基线,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)","WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=300000，G/T未显式记录,,300000,7442285.479,16721.35308,278.68921800000004,16016.8167,266.94694499999997,TRUE,363,40:24.7,07:21.5,19:06.0,utf-8-sig
